"TLONGDD","TLATDD","RLONGDD","RLATDD","TAGNO","SPECIES","TDATE","UNIQUE","TGEAR","HOOKTYPE","TDEPTHFT","TLENIN","TWTLBS","RDATE","RGEAR","RETDEPTH"
-81.1166666666667,29.9,-81.1166666666667,29.9,"33998","RED SNAPPER",2000-07-06,14771,"RR","J",75,10,NA,2001-06-06,"RR",68
-81.1166666666667,29.9,-80.9833333333333,29.9,"34111","RED SNAPPER",2000-10-19,14889,"RR","J",70,13,NA,2001-04-10,"RR",65
-80.9833333333333,29.9,-81.1166666666667,29.9,"34111","RED SNAPPER",2001-04-10,14891,"RR","",65,15,NA,2001-05-16,"RR",70
-81.1166666666667,29.9,-81.1166666666667,29.9,"34113","RED SNAPPER",2000-10-21,14894,"RR","J",70,14,NA,2001-04-16,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.8666666666667,"34113","RED SNAPPER",2001-04-16,14895,"RR","J",65,16,NA,2001-05-15,"RR",68
-81.1,29.9166666666667,-81.1,29.9166666666667,"34114","RED SNAPPER",2000-10-27,14898,"RR","J",65,15,NA,2000-11-07,"RR",65
-81,30.25,-80.95,30.25,"34122","RED SNAPPER",2000-10-29,14906,"RR","J",100,13,NA,2000-11-02,"RR",84
-81.1166666666667,29.9,-81,29.9,"34152","RED SNAPPER",2001-04-07,14936,"RR","J",65,16,NA,2001-07-07,"RR",60
-81.1166666666667,29.9,-81.1166666666667,29.9,"34179","RED SNAPPER",2001-04-07,14963,"RR","J",65,14,NA,2001-05-20,"RR",65
-80.8333333333333,29.9166666666667,-80.85,29.9166666666667,"37448","RED SNAPPER",2001-06-13,16799,"RR","J",95,15,NA,2001-08-11,"RR",85
-80.9166666666667,29.8333333333333,-81.1166666666667,29.9,"38115","RED SNAPPER",2001-09-07,17058,"RR","J",80,15,NA,2001-12-15,"RR",70
-80.9166666666667,29.8333333333333,-81.1166666666667,29.8833333333333,"38117","RED SNAPPER",2001-09-07,17061,"RR","J",80,17,NA,2001-11-11,"RR",65
-81.1166666666667,29.9166666666667,-81.1166666666667,29.9,"38136","RED SNAPPER",2001-09-23,17085,"RR","J",70,16,NA,2001-11-11,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.9,"38149","RED SNAPPER",2001-10-04,17103,"RR","J",68,10,NA,2001-12-01,"RR",70
-80.9833333333333,29.8333333333333,-80.9666666666667,29.85,"38152","RED SNAPPER",2001-09-01,17106,"RR","J",75,18,NA,2001-12-08,"RR",70
-80.9833333333333,29.8333333333333,-80.9833333333333,29.8333333333333,"38154","RED SNAPPER",2001-09-01,17108,"RR","J",75,18,NA,2001-10-20,"RR",83
-80.9833333333333,29.8333333333333,-80.95,29.8333333333333,"38155","RED SNAPPER",2001-09-01,17111,"RR","J",75,14,NA,2001-11-25,"RR",80
-81.1166666666667,29.9,-81.1166666666667,29.9833333333333,"38158","RED SNAPPER",2001-08-29,17115,"RR","J",65,12,NA,2001-10-03,"RR",62
-81.1166666666667,29.9,-81.1166666666667,29.8833333333333,"38159","RED SNAPPER",2001-08-29,17117,"RR","J",65,14,NA,2001-10-03,"RR",62
-81.1166666666667,29.9,-81.1166666666667,29.9,"38162","RED SNAPPER",2001-08-29,17121,"RR","J",65,14,NA,2001-09-23,"RR",70
-81.1166666666667,29.9,-81.1333333333333,29.8666666666667,"38168","RED SNAPPER",2001-08-29,17131,"RR","J",65,16,NA,2001-12-28,"RR",68
-80.9833333333333,29.8333333333333,-81.1166666666667,29.9,"38175","RED SNAPPER",2001-08-24,17139,"RR","J",70,18,NA,2001-08-29,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.9,"38183","RED SNAPPER",2001-08-21,17148,"RR","J",65,18,NA,2001-10-11,"RR",69
-81.1166666666667,29.9,-81.0833333333333,29.9333333333333,"38191","RED SNAPPER",2001-08-16,17158,"RR","J",70,14,NA,2001-10-03,"RR",69
-81.1,29.9333333333333,-81.1166666666667,29.9,"38191","RED SNAPPER",2001-11-11,17160,"RR","J",65,16,NA,2002-06-17,"RR",65
-80.9,29.5833333333333,-80.8833333333333,29.5833333333333,"38420","RED SNAPPER",2001-05-31,17406,"RR","J",65,17,NA,2001-07-06,"RR",75
